Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто;Адреса;Телефон;Email
Гайда;Пріска;Олександрівна;female;1966-04-08;Журналіст;село Шумськ;сквер Чорноморський, буд. 849 кв. 438, Перещепине, 06033;002 240-76-33;poltavetsparmen@example.com
Щербак;Владислав;Дмитрович;male;1966-05-02;Менеджер;село Верхівцеве;набережна Айвазовського, буд. 691 кв. 5, Ворожба, 13267;+380 (74) 195-35-53;xkarpa@example.com
Василашко;Богуслав;Романович;male;1991-10-29;Гінеколог;хутір Ромни;парк Військовий узвіз, буд. 81, Полтава, 52867;+380 78 610 00 57;konopliaalina@example.com
Палій;Микита;Юрійович;male;1956-09-06;Випробувач;село Глобине;шосе Бахчева, буд. 1, Джанкой, 14518;+380 (10) 226-64-70;hoholandrii@example.net
Романенко;Сергій;Анатолійович;male;1965-03-04;Промисловець;місто Апостолове;набережна Закарпатська, буд. 40, Сватове, 53536;025 308-67-72;tneporozhnii@example.org
Супруненко;Давид;Дмитрович;male;2004-01-23;Біолог;хутір Ніжин;шосе Москеті, буд. 2, Запоріжжя, 90117;024 746-26-19;onysymhohol@example.com
Чумак;Тереза;Богданівна;female;1958-01-12;Льотчик;місто Вознесенівка;узвіз Єфімова, буд. 08, Полонне, 12574;049 074 29 24;ctsarenko@example.net
Вахній;Устим;Юрійович;male;1979-09-15;Мистецтвознавець;село Керч;шосе Наявний 7-й, буд. 807 кв. 60, Почаїв, 52966;+380 66 457-69-38;piurchyshyn@example.org
Бгиденко;Анастасія;Дмитрівна;female;1972-10-08;Електрик;місто Борислав;шосе Приморський, буд. 9 кв. 6, Вилкове, 93496;+380 (93) 638-90-15;viacheslavvanchenko@example.com
Левченко;Ірина;Євгенівна;female;1947-01-30;Менеджер;місто Синельникове;проспект Віри Інбер, буд. 65, Перемишляни, 38262;+380 45 082 67 93;artymleonid@example.org
Кабалюк;Вʼячеслав;Романович;male;1977-06-29;Архітектор;хутір Ковель;площа Торгова, буд. 40, Охтирка, 28674;+380 92 412 81 21;masokhazakhar@example.com
Бандера;Лілія;Михайлівна;female;1962-02-07;Кінокритик;село Чернігів;проспект Красний, буд. 11 кв. 16, Красилів, 07762;+380 (45) 596-09-41;keibozhenko@example.net
Ващенко;Леопольд;Олександрович;male;1960-06-02;Програміст;селище Коломия;узвіз Сергія Ядова, буд. 807 кв. 21, Докучаєвськ, 41219;265 66 81;antonkozachenko@example.org
Дейнека;Микита;Петрович;male;1992-06-15;Фотограф;селище Галич;набережна Суперфосфатна, буд. 0, Великі Мости, 98648;+380 00 785-67-71;orysia90@example.com
Валенко;Ірина;Юріївна;female;1942-08-23;Педагог;хутір Сокаль;узвіз Суднобудівна, буд. 3 кв. 989, Новомиргород, 47014;+380 (09) 826-48-04;solomiia16@example.org
Їжак;Соломон;Юрійович;male;2002-05-20;Ґрунтознавець;селище Новодружеськ;площа Дніпропетровська дорога, буд. 9, Корець, 27469;+380 (34) 588-86-20;emakarenko@example.net
Корбут;Мирон;Олександрович;male;1939-11-04;Агроном;хутір Верхньодніпровськ;площа Соляна, буд. 015, Благовіщенське, 54740;+380 98 827 85 72;davyd90@example.com
Луценко;Віра;Вікторівна;female;2000-11-10;Актор;селище Яготин;парк Колективний, буд. 903 кв. 21, Пустомити, 26905;+380 07 213 16 18;geretahryhorii@example.org
Журавель;Марія;Петрівна;female;1990-08-29;Гірничий інженер;село Гайворон;провулок Олександра Болдирєва, буд. 24, Яворів, 30759;+380 57 173-50-47;mykolai88@example.com
Баран;Наталія;Миколаївна;female;1962-07-01;Стиліст;село Нова Одеса;набережна Ф. Пішеніна, буд. 7 кв. 8, Рожище, 50227;410-95-92;semenchenkotereza@example.org
Жук;Леонід;Максимович;male;2005-08-19;Драматург;місто Курахове;проспект Морський 2-й, буд. 19, Ужгород, 03899;104 24 92;shtepaazar@example.net
Приймак;Володимир;Сергійович;male;1985-07-22;Кінолог;село Золотоноша;набережна Михайла Омеляновича-Павленка, буд. 6, Підгородне, 99297;+380 42 223-35-06;habelkonadiia@example.org
Полтавець;Одарка;Іванівна;female;1964-10-22;Реставратор;місто Помічна;вулиця Лінія 41-ша, буд. 186, Нікополь, 47581;152-41-55;maksymchornovil@example.org
Євтушок;Соломія;Олегівна;female;1942-01-12;Диригент;селище Бобринець;узвіз Черкаська, буд. 331 кв. 9, Ніжин, 01015;+380 66 119-58-62;sdankiv@example.org
Башполченко;Леон;Іванович;male;1981-04-17;Актор;хутір Іллінці;вулиця Мостовий, буд. 76, Снігурівка, 89347;670-44-63;gisaievych@example.com
Аврамчук;Святослав;Андрійович;male;1983-03-30;Золотар;місто Черкаси;вулиця Кропивницького, буд. 8, Заставна, 41821;+380 (43) 766-91-99;shyloboryslav@example.org
Рябовіл;Мирон;Іванович;male;1990-01-22;Продюсер;селище Валки;сквер Текстильників, буд. 9 кв. 7, Моспине, 31768;+380 09 971 57 78;iarynadzhun@example.org
Іваничук;Андрій;Сергійович;male;1947-03-16;Ріелтор;село Рогатин;набережна Уманська, буд. 3 кв. 911, Тростянець, 44815;+380 05 644-25-44;lesdeisun@example.com
Чуприна;Азар;Вікторович;male;1957-04-04;Гицель;місто Балта;узвіз Ярослава Баїса, буд. 59, Ровеньки, 26940;+380 43 584-58-72;ada34@example.org
Абраменко;Марта;Олександрівна;female;1943-03-02;Дантист;хутір Верхівцеве;парк Урожайна, буд. 658, Вуглегірськ, 58019;+380 (53) 989-89-87;bohuslava79@example.com
Конопленко;Мартин;Миколайович;male;1954-09-15;Соціолог;місто Васильків;шосе Водопровідний 3-й, буд. 930 кв. 31, Городище, 29906;081 921 31 72;ievtushokanastasiia@example.net
Дашкевич;Феофан;Олегович;male;1961-05-06;Літературознавець;хутір Оріхів;шосе Гаванна, буд. 7 кв. 6, Покровськ, 19158;048 906-75-83;zieroshenko@example.net
Девдюк;Борислав;Олегович;male;1959-05-12;Економіст;місто Жовті Води;сквер Квітковий, буд. 858, Корець, 96224;035 331-67-60;iaryna12@example.com
Дейсун;Альбіна;Степанівна;female;1998-04-14;Громадський діяч;село Старокостянтинів;шосе Італійський, буд. 543 кв. 493, Севастополь, 45877;068 528-63-55;anzhela44@example.com
Савенко;Степан;Євгенович;male;1944-02-13;Няня;хутір Павлоград;проспект Юрія Яновського, буд. 66, Новодружеськ, 80984;360 40 43;opanas38@example.com
Євтушок;Тимофій;Степанович;male;1987-02-23;Кінорежисер;селище Вугледар;сквер Варненська, буд. 495 кв. 79, Ворожба, 29435;+380 22 985 14 20;fzhalilo@example.org
Рудько;Леонід;Вікторович;male;1967-09-26;Електротехнік;селище Татарбунари;сквер Хаджибейська дорога, буд. 408 кв. 599, Буча, 82891;010 609 23 05;viukhymenko@example.net
Адамчук;Данна;Володимирівна;female;1958-04-23;Медик;село Шпола;шосе Лиманчик 2-й Лінія 9-та, буд. 4, Алупка, 87001;453 32 24;vashchukrostyslav@example.org
Наливайко;Спас;Сергійович;male;1958-06-08;Стиліст;хутір Мар'їнка;проспект Хімічний 2-й, буд. 9, Добромиль, 04023;+380 26 170-10-17;kshcherban@example.com
Рудько;Розалія;Богданівна;female;1947-11-25;Мінералог;хутір Молочанськ;провулок Західний 2-й, буд. 227, Васильків, 69988;+380 00 022-06-29;zinchukruslan@example.org
Уманець;Борис;Олегович;male;1956-07-05;Флорист;хутір Ровеньки;провулок Угорська, буд. 4 кв. 979, Південне, 07464;046 586 39 71;maksymsirchenko@example.org
